trading_date,spread_name,price
2019/10/18,Spread_Port_03,-216.4072
2019/10/18,Spread_Port_04,-48.8
2019/10/18,Spread_Port_05,-147.8
2019/10/18,Spread_Port_06,-99
2019/10/21,Spread_Port_01,-47.4
2019/10/21,Spread_Port_02,-151.6
2019/10/21,Spread_Port_03,-239
2019/10/21,Spread_Port_04,-104.2
2019/10/21,Spread_Port_05,-191.6
2019/10/21,Spread_Port_06,-87.4
2019/10/22,Spread_Port_01,-48.4
2019/10/22,Spread_Port_02,-152.6
2019/10/22,Spread_Port_03,-239.4
2019/10/22,Spread_Port_04,-104.2
2019/10/22,Spread_Port_05,-191
2019/10/22,Spread_Port_06,-86.8
2019/10/23,Spread_Port_01,-48
2019/10/23,Spread_Port_02,-154.8
2019/10/23,Spread_Port_03,-237
2019/10/23,Spread_Port_04,-106.8
2019/10/23,Spread_Port_05,-189
2019/10/23,Spread_Port_06,-82.2
2019/10/24,Spread_Port_01,-45.4
2019/10/24,Spread_Port_02,-149.4
2019/10/24,Spread_Port_03,-234.4
2019/10/24,Spread_Port_04,-104
2019/10/24,Spread_Port_05,-189
2019/10/24,Spread_Port_06,-85
2019/10/25,Spread_Port_01,-45.2
2019/10/25,Spread_Port_02,-156.2
2019/10/25,Spread_Port_03,-238.4
2019/10/25,Spread_Port_04,-111
2019/10/25,Spread_Port_05,-193.2
2019/10/25,Spread_Port_06,-82.2
2019/10/28,Spread_Port_01,-47.6
2019/10/28,Spread_Port_02,-152.6
2019/10/28,Spread_Port_03,-238.4
2019/10/28,Spread_Port_04,-105
2019/10/28,Spread_Port_05,-190.8
2019/10/28,Spread_Port_06,-85.8
2019/10/29,Spread_Port_01,-44.6
2019/10/29,Spread_Port_02,-146
2019/10/29,Spread_Port_03,-234.6
2019/10/29,Spread_Port_04,-101.4
2019/10/29,Spread_Port_05,-190
2019/10/29,Spread_Port_06,-88.6
2019/10/30,Spread_Port_01,-45
2019/10/30,Spread_Port_02,-138.6
2019/10/30,Spread_Port_03,-223.6
2019/10/30,Spread_Port_04,-93.6
2019/10/30,Spread_Port_05,-178.6
2019/10/30,Spread_Port_06,-85
2019/10/31,Spread_Port_01,-41.8
2019/10/31,Spread_Port_02,-140.8
2019/10/31,Spread_Port_03,-225.6
2019/10/31,Spread_Port_04,-99
2019/10/31,Spread_Port_05,-183.8
2019/10/31,Spread_Port_06,-84.8
2019/11/1,Spread_Port_01,-42.8
2019/11/1,Spread_Port_02,-146
2019/11/1,Spread_Port_03,-234
2019/11/1,Spread_Port_04,-103.2
2019/11/1,Spread_Port_05,-191.2
2019/11/1,Spread_Port_06,-88
2019/11/4,Spread_Port_01,-44.4
2019/11/4,Spread_Port_02,-148
2019/11/4,Spread_Port_03,-246
2019/11/4,Spread_Port_04,-103.6
2019/11/4,Spread_Port_05,-201.6
2019/11/4,Spread_Port_06,-98
2019/11/5,Spread_Port_01,-45
2019/11/5,Spread_Port_02,-145.2
2019/11/5,Spread_Port_03,-238.4
2019/11/5,Spread_Port_04,-100.2
2019/11/5,Spread_Port_05,-193.4
2019/11/5,Spread_Port_06,-93.2
2019/11/6,Spread_Port_01,-47.2
2019/11/6,Spread_Port_02,-148
2019/11/6,Spread_Port_03,-242.6
2019/11/6,Spread_Port_04,-100.8
2019/11/6,Spread_Port_05,-195.4
2019/11/6,Spread_Port_06,-94.6
2019/11/7,Spread_Port_01,-53.2
2019/11/7,Spread_Port_02,-148
2019/11/7,Spread_Port_03,-245.8
2019/11/7,Spread_Port_04,-94.8
2019/11/7,Spread_Port_05,-192.6
2019/11/7,Spread_Port_06,-97.8
2019/11/8,Spread_Port_01,-48.8
2019/11/8,Spread_Port_02,-147.8
2019/11/8,Spread_Port_03,-244.8
2019/11/8,Spread_Port_04,-99
2019/11/8,Spread_Port_05,-196
2019/11/8,Spread_Port_06,-97
2019/11/11,Spread_Port_01,-53
2019/11/11,Spread_Port_02,-156.8
2019/11/11,Spread_Port_03,-250.8
2019/11/11,Spread_Port_04,-103.8
2019/11/11,Spread_Port_05,-197.8
2019/11/11,Spread_Port_06,-94
2019/11/12,Spread_Port_01,-55.4
2019/11/12,Spread_Port_02,-160
2019/11/12,Spread_Port_03,-255.4
2019/11/12,Spread_Port_04,-104.6
2019/11/12,Spread_Port_05,-200
2019/11/12,Spread_Port_06,-95.4
2019/11/13,Spread_Port_01,-54.8
2019/11/13,Spread_Port_02,-162.4
2019/11/13,Spread_Port_03,-256.4
2019/11/13,Spread_Port_04,-107.6
2019/11/13,Spread_Port_05,-201.6
2019/11/13,Spread_Port_06,-94
2019/11/14,Spread_Port_01,-63.8
2019/11/14,Spread_Port_02,-182.8
2019/11/14,Spread_Port_03,-289.6
2019/11/14,Spread_Port_04,-119
2019/11/14,Spread_Port_05,-225.8
2019/11/14,Spread_Port_06,-106.8
2019/11/15,Spread_Port_01,-48.0367
2019/11/15,Spread_Port_02,-164.4367
2019/11/15,Spread_Port_03,-267.8367
2019/11/15,Spread_Port_04,-116.4
2019/11/15,Spread_Port_05,-219.8
2019/11/15,Spread_Port_06,-103.4
2019/11/18,Spread_Port_01,-42.8
2019/11/18,Spread_Port_02,-121
2019/11/18,Spread_Port_03,-227.2
2019/11/18,Spread_Port_04,-78.2
2019/11/18,Spread_Port_05,-184.4
2019/11/18,Spread_Port_06,-106.2
2019/11/19,Spread_Port_01,-38.6
2019/11/19,Spread_Port_02,-121
2019/11/19,Spread_Port_03,-222.8
2019/11/19,Spread_Port_04,-82.4
2019/11/19,Spread_Port_05,-184.2
2019/11/19,Spread_Port_06,-101.8
2019/11/20,Spread_Port_01,-41.4
2019/11/20,Spread_Port_02,-115.4
2019/11/20,Spread_Port_03,-223.2
2019/11/20,Spread_Port_04,-74
2019/11/20,Spread_Port_05,-181.8
2019/11/20,Spread_Port_06,-107.8
2019/11/21,Spread_Port_01,-41.4
2019/11/21,Spread_Port_02,-118.4
2019/11/21,Spread_Port_03,-224.4
2019/11/21,Spread_Port_04,-77
2019/11/21,Spread_Port_05,-183
2019/11/21,Spread_Port_06,-106
2019/11/22,Spread_Port_01,-39.6
2019/11/22,Spread_Port_02,-114
2019/11/22,Spread_Port_03,-215
2019/11/22,Spread_Port_04,-74.4
2019/11/22,Spread_Port_05,-175.4
2019/11/22,Spread_Port_06,-101
2019/11/25,Spread_Port_01,-39.6
2019/11/25,Spread_Port_02,-116.4
2019/11/25,Spread_Port_03,-219.4
2019/11/25,Spread_Port_04,-76.8
2019/11/25,Spread_Port_05,-179.8
2019/11/25,Spread_Port_06,-103
2019/11/26,Spread_Port_01,-40.2
2019/11/26,Spread_Port_02,-121.6
2019/11/26,Spread_Port_03,-227.2
2019/11/26,Spread_Port_04,-81.4
2019/11/26,Spread_Port_05,-187
2019/11/26,Spread_Port_06,-105.6
2019/11/27,Spread_Port_01,-41.2
2019/11/27,Spread_Port_02,-116.8
2019/11/27,Spread_Port_03,-226.4
2019/11/27,Spread_Port_04,-75.6
2019/11/27,Spread_Port_05,-185.2
2019/11/27,Spread_Port_06,-109.6
2019/11/28,Spread_Port_01,-38.8
2019/11/28,Spread_Port_02,-115.8
2019/11/28,Spread_Port_03,-217.6
2019/11/28,Spread_Port_04,-77
2019/11/28,Spread_Port_05,-178.8
2019/11/28,Spread_Port_06,-101.8
2019/11/29,Spread_Port_01,-37.8
2019/11/29,Spread_Port_02,-112.8
2019/11/29,Spread_Port_03,-215.2
2019/11/29,Spread_Port_04,-75
2019/11/29,Spread_Port_05,-177.4
2019/11/29,Spread_Port_06,-102.4
2019/12/2,Spread_Port_01,-37
2019/12/2,Spread_Port_02,-110.4
2019/12/2,Spread_Port_03,-213.2
2019/12/2,Spread_Port_04,-73.4
2019/12/2,Spread_Port_05,-176.2
2019/12/2,Spread_Port_06,-102.8
2019/12/3,Spread_Port_01,-36.8
2019/12/3,Spread_Port_02,-110.4
2019/12/3,Spread_Port_03,-209.2
2019/12/3,Spread_Port_04,-73.6
2019/12/3,Spread_Port_05,-172.4
2019/12/3,Spread_Port_06,-98.8
2019/12/4,Spread_Port_01,-39
2019/12/4,Spread_Port_02,-108.4
2019/12/4,Spread_Port_03,-194.2
2019/12/4,Spread_Port_04,-69.4
2019/12/4,Spread_Port_05,-155.2
2019/12/4,Spread_Port_06,-85.8
2019/12/5,Spread_Port_01,-37.4
2019/12/5,Spread_Port_02,-106.2
2019/12/5,Spread_Port_03,-199.2
2019/12/5,Spread_Port_04,-68.8
2019/12/5,Spread_Port_05,-161.8
2019/12/5,Spread_Port_06,-93
2019/12/6,Spread_Port_01,-26
2019/12/6,Spread_Port_02,-96.4
2019/12/6,Spread_Port_03,-185.8
2019/12/6,Spread_Port_04,-70.4
2019/12/6,Spread_Port_05,-159.8
2019/12/6,Spread_Port_06,-89.4
2019/12/9,Spread_Port_01,-29.4
2019/12/9,Spread_Port_02,-89
2019/12/9,Spread_Port_03,-169
2019/12/9,Spread_Port_04,-59.6
2019/12/9,Spread_Port_05,-139.6
2019/12/9,Spread_Port_06,-80
2019/12/10,Spread_Port_01,-22.2
2019/12/10,Spread_Port_02,-63.2
2019/12/10,Spread_Port_03,-134.4
2019/12/10,Spread_Port_04,-41
2019/12/10,Spread_Port_05,-112.2
2019/12/10,Spread_Port_06,-71.2
2019/12/11,Spread_Port_01,-25
2019/12/11,Spread_Port_02,-68.6
2019/12/11,Spread_Port_03,-149.2
2019/12/11,Spread_Port_04,-43.6
2019/12/11,Spread_Port_05,-124.2
2019/12/11,Spread_Port_06,-80.6
2019/12/12,Spread_Port_01,-22.4
2019/12/12,Spread_Port_02,-67.4
2019/12/12,Spread_Port_03,-146.6
2019/12/12,Spread_Port_04,-45
2019/12/12,Spread_Port_05,-124.2
2019/12/12,Spread_Port_06,-79.2
2019/12/13,Spread_Port_01,-15.2
2019/12/13,Spread_Port_02,-67.8
2019/12/13,Spread_Port_03,-143
2019/12/13,Spread_Port_04,-52.6
2019/12/13,Spread_Port_05,-127.8
2019/12/13,Spread_Port_06,-75.2
2019/12/16,Spread_Port_01,-22
2019/12/16,Spread_Port_02,-69.4
2019/12/16,Spread_Port_03,-147.6
2019/12/16,Spread_Port_04,-47.4
2019/12/16,Spread_Port_05,-125.6
2019/12/16,Spread_Port_06,-78.2
2019/12/17,Spread_Port_01,-13
2019/12/17,Spread_Port_02,-57.4
2019/12/17,Spread_Port_03,-131.6
2019/12/17,Spread_Port_04,-44.4
2019/12/17,Spread_Port_05,-118.6
2019/12/17,Spread_Port_06,-74.2
2019/12/18,Spread_Port_01,-1.2
2019/12/18,Spread_Port_02,-35.8
2019/12/18,Spread_Port_03,-103.6
2019/12/18,Spread_Port_04,-34.6
2019/12/18,Spread_Port_05,-102.4
2019/12/18,Spread_Port_06,-67.8
2019/12/19,Spread_Port_01,0.4
2019/12/19,Spread_Port_02,-33
2019/12/19,Spread_Port_03,-102.6
2019/12/19,Spread_Port_04,-33.4
2019/12/19,Spread_Port_05,-103
2019/12/19,Spread_Port_06,-69.6
2019/12/20,Spread_Port_01,19.9248
2019/12/20,Spread_Port_02,1.1248
2019/12/20,Spread_Port_03,-52.2752
2019/12/20,Spread_Port_04,-18.8
2019/12/20,Spread_Port_05,-72.2
2019/12/20,Spread_Port_06,-53.4
2019/12/23,Spread_Port_01,-24.2
2019/12/23,Spread_Port_02,-54
2019/12/23,Spread_Port_03,-126.2
2019/12/23,Spread_Port_04,-29.8
2019/12/23,Spread_Port_05,-102
2019/12/23,Spread_Port_06,-72.2
2019/12/24,Spread_Port_01,-23
2019/12/24,Spread_Port_02,-54.2
2019/12/24,Spread_Port_03,-126.2
2019/12/24,Spread_Port_04,-31.2
2019/12/24,Spread_Port_05,-103.2
2019/12/24,Spread_Port_06,-72
2019/12/25,Spread_Port_01,-14.6
2019/12/25,Spread_Port_02,-39.8
2019/12/25,Spread_Port_03,-106.2
2019/12/25,Spread_Port_04,-25.2
2019/12/25,Spread_Port_05,-91.6
2019/12/25,Spread_Port_06,-66.4
2019/12/26,Spread_Port_01,-14.8
2019/12/26,Spread_Port_02,-40.8
2019/12/26,Spread_Port_03,-107
2019/12/26,Spread_Port_04,-26
2019/12/26,Spread_Port_05,-92.2
2019/12/26,Spread_Port_06,-66.2
2019/12/27,Spread_Port_01,-18.6
2019/12/27,Spread_Port_02,-42.6
2019/12/27,Spread_Port_03,-116.8
2019/12/27,Spread_Port_04,-24
2019/12/27,Spread_Port_05,-98.2
2019/12/27,Spread_Port_06,-74.2
2019/12/30,Spread_Port_01,-14.4
2019/12/30,Spread_Port_02,-30
2019/12/30,Spread_Port_03,-91
2019/12/30,Spread_Port_04,-15.6
2019/12/30,Spread_Port_05,-76.6
2019/12/30,Spread_Port_06,-61
2019/12/31,Spread_Port_01,-15.2
2019/12/31,Spread_Port_02,-34.6
2019/12/31,Spread_Port_03,-105
2019/12/31,Spread_Port_04,-19.4
2019/12/31,Spread_Port_05,-89.8
2019/12/31,Spread_Port_06,-70.4
2020/1/2,Spread_Port_01,-11.8
2020/1/2,Spread_Port_02,-24
2020/1/2,Spread_Port_03,-89.6
2020/1/2,Spread_Port_04,-12.2
2020/1/2,Spread_Port_05,-77.8
2020/1/2,Spread_Port_06,-65.6
2020/1/3,Spread_Port_01,-14
2020/1/3,Spread_Port_02,-28
2020/1/3,Spread_Port_03,-87.8
2020/1/3,Spread_Port_04,-14
2020/1/3,Spread_Port_05,-73.8
2020/1/3,Spread_Port_06,-59.8
2020/1/6,Spread_Port_01,-10.6
2020/1/6,Spread_Port_02,-23
2020/1/6,Spread_Port_03,-78.8
2020/1/6,Spread_Port_04,-12.4
2020/1/6,Spread_Port_05,-68.2
2020/1/6,Spread_Port_06,-55.8
2020/1/7,Spread_Port_01,-9
2020/1/7,Spread_Port_02,-22
2020/1/7,Spread_Port_03,-76.4
2020/1/7,Spread_Port_04,-13
2020/1/7,Spread_Port_05,-67.4
2020/1/7,Spread_Port_06,-54.4
2020/1/8,Spread_Port_01,-12.6
2020/1/8,Spread_Port_02,-23.6
2020/1/8,Spread_Port_03,-79.8
2020/1/8,Spread_Port_04,-11
2020/1/8,Spread_Port_05,-67.2
2020/1/8,Spread_Port_06,-56.2
2020/1/9,Spread_Port_01,-6.2
2020/1/9,Spread_Port_02,-28.2
2020/1/9,Spread_Port_03,-98.8
2020/1/9,Spread_Port_04,-22
2020/1/9,Spread_Port_05,-92.6
2020/1/9,Spread_Port_06,-70.6
2020/1/10,Spread_Port_01,-12
2020/1/10,Spread_Port_02,-27.6
2020/1/10,Spread_Port_03,-95.8
2020/1/10,Spread_Port_04,-15.6
2020/1/10,Spread_Port_05,-83.8
2020/1/10,Spread_Port_06,-68.2
2020/1/13,Spread_Port_01,-10.4
2020/1/13,Spread_Port_02,-20.4
2020/1/13,Spread_Port_03,-92.4
2020/1/13,Spread_Port_04,-10
2020/1/13,Spread_Port_05,-82
2020/1/13,Spread_Port_06,-72
2020/1/14,Spread_Port_01,-8.4
2020/1/14,Spread_Port_02,-26.6
2020/1/14,Spread_Port_03,-96.6
2020/1/14,Spread_Port_04,-18.2
2020/1/14,Spread_Port_05,-88.2
2020/1/14,Spread_Port_06,-70
2020/1/15,Spread_Port_01,-3.6
2020/1/15,Spread_Port_02,-18
2020/1/15,Spread_Port_03,-81.2
2020/1/15,Spread_Port_04,-14.4
2020/1/15,Spread_Port_05,-77.6
2020/1/15,Spread_Port_06,-63.2
2020/1/16,Spread_Port_01,-0.4
2020/1/16,Spread_Port_02,-14.2
2020/1/16,Spread_Port_03,-81.8
2020/1/16,Spread_Port_04,-13.8
2020/1/16,Spread_Port_05,-81.4
2020/1/16,Spread_Port_06,-67.6
2020/1/17,Spread_Port_01,-8.8453
2020/1/17,Spread_Port_02,-21.6453
2020/1/17,Spread_Port_03,-90.2453
2020/1/17,Spread_Port_04,-12.8
2020/1/17,Spread_Port_05,-81.4
2020/1/17,Spread_Port_06,-68.6
2020/1/20,Spread_Port_01,-17.4
2020/1/20,Spread_Port_02,-85.8
2020/1/20,Spread_Port_03,-141.8
2020/1/20,Spread_Port_04,-68.4
2020/1/20,Spread_Port_05,-124.4
2020/1/20,Spread_Port_06,-56
2020/1/21,Spread_Port_01,-21.6
2020/1/21,Spread_Port_02,-92.2
2020/1/21,Spread_Port_03,-158
2020/1/21,Spread_Port_04,-70.6
2020/1/21,Spread_Port_05,-136.4
2020/1/21,Spread_Port_06,-65.8
2020/1/22,Spread_Port_01,-22
2020/1/22,Spread_Port_02,-91.8
2020/1/22,Spread_Port_03,-157.4
2020/1/22,Spread_Port_04,-69.8
2020/1/22,Spread_Port_05,-135.4
2020/1/22,Spread_Port_06,-65.6
2020/1/23,Spread_Port_01,-30.4
2020/1/23,Spread_Port_02,-114.8
2020/1/23,Spread_Port_03,-169.2
2020/1/23,Spread_Port_04,-84.4
2020/1/23,Spread_Port_05,-138.8
2020/1/23,Spread_Port_06,-54.4
2020/2/3,Spread_Port_01,-24.4
2020/2/3,Spread_Port_02,-94.6
2020/2/3,Spread_Port_03,-152.8
2020/2/3,Spread_Port_04,-70.2
2020/2/3,Spread_Port_05,-128.4
2020/2/3,Spread_Port_06,-58.2
2020/2/4,Spread_Port_01,-25.8
2020/2/4,Spread_Port_02,-98.2
2020/2/4,Spread_Port_03,-159
2020/2/4,Spread_Port_04,-72.4
2020/2/4,Spread_Port_05,-133.2
2020/2/4,Spread_Port_06,-60.8
2020/2/5,Spread_Port_01,-37
2020/2/5,Spread_Port_02,-113.6
2020/2/5,Spread_Port_03,-170.2
2020/2/5,Spread_Port_04,-76.6
2020/2/5,Spread_Port_05,-133.2
2020/2/5,Spread_Port_06,-56.6
2020/2/6,Spread_Port_01,-40
2020/2/6,Spread_Port_02,-132.4
2020/2/6,Spread_Port_03,-202.4
2020/2/6,Spread_Port_04,-92.4
2020/2/6,Spread_Port_05,-162.4
2020/2/6,Spread_Port_06,-70
2020/2/7,Spread_Port_01,-42.4
2020/2/7,Spread_Port_02,-153.2
2020/2/7,Spread_Port_03,-221.4
2020/2/7,Spread_Port_04,-110.8
2020/2/7,Spread_Port_05,-179
2020/2/7,Spread_Port_06,-68.2
2020/2/10,Spread_Port_01,-49.8
2020/2/10,Spread_Port_02,-166.4
2020/2/10,Spread_Port_03,-237.8
2020/2/10,Spread_Port_04,-116.6
2020/2/10,Spread_Port_05,-188
2020/2/10,Spread_Port_06,-71.4
2020/2/11,Spread_Port_01,-43.8
2020/2/11,Spread_Port_02,-154.2
2020/2/11,Spread_Port_03,-232.6
2020/2/11,Spread_Port_04,-110.4
2020/2/11,Spread_Port_05,-188.8
2020/2/11,Spread_Port_06,-78.4
2020/2/12,Spread_Port_01,-52.6
2020/2/12,Spread_Port_02,-160
2020/2/12,Spread_Port_03,-240.8
2020/2/12,Spread_Port_04,-107.4
2020/2/12,Spread_Port_05,-188.2
2020/2/12,Spread_Port_06,-80.8
2020/2/13,Spread_Port_01,-49.6
2020/2/13,Spread_Port_02,-156
2020/2/13,Spread_Port_03,-239.4
2020/2/13,Spread_Port_04,-106.4
2020/2/13,Spread_Port_05,-189.8
2020/2/13,Spread_Port_06,-83.4
2020/2/14,Spread_Port_01,-41.8
2020/2/14,Spread_Port_02,-129.8
2020/2/14,Spread_Port_03,-211.6
2020/2/14,Spread_Port_04,-88
2020/2/14,Spread_Port_05,-169.8
2020/2/14,Spread_Port_06,-81.8
2020/2/17,Spread_Port_01,-15.6
2020/2/17,Spread_Port_02,-98.8
2020/2/17,Spread_Port_03,-176.6
2020/2/17,Spread_Port_04,-83.2
2020/2/17,Spread_Port_05,-161
2020/2/17,Spread_Port_06,-77.8
2020/2/18,Spread_Port_01,-37.2
2020/2/18,Spread_Port_02,-129.2
2020/2/18,Spread_Port_03,-210
2020/2/18,Spread_Port_04,-92
2020/2/18,Spread_Port_05,-172.8
2020/2/18,Spread_Port_06,-80.8
2020/2/19,Spread_Port_01,-33.6
2020/2/19,Spread_Port_02,-129.4
2020/2/19,Spread_Port_03,-213.8
2020/2/19,Spread_Port_04,-95.8
2020/2/19,Spread_Port_05,-180.2
2020/2/19,Spread_Port_06,-84.4
2020/2/20,Spread_Port_01,-37
2020/2/20,Spread_Port_02,-137.8
2020/2/20,Spread_Port_03,-227.2
2020/2/20,Spread_Port_04,-100.8
2020/2/20,Spread_Port_05,-190.2
2020/2/20,Spread_Port_06,-89.4
2020/2/21,Spread_Port_01,-9.0321
2020/2/21,Spread_Port_02,-118.2321
2020/2/21,Spread_Port_03,-210.2321
2020/2/21,Spread_Port_04,-109.2
2020/2/21,Spread_Port_05,-201.2
2020/2/21,Spread_Port_06,-92
2020/2/24,Spread_Port_01,-35.6
2020/2/24,Spread_Port_02,-117.8
2020/2/24,Spread_Port_03,-214.2
2020/2/24,Spread_Port_04,-82.2
2020/2/24,Spread_Port_05,-178.6
2020/2/24,Spread_Port_06,-96.4
2020/2/25,Spread_Port_01,-25
2020/2/25,Spread_Port_02,-108.8
2020/2/25,Spread_Port_03,-212.6
2020/2/25,Spread_Port_04,-83.8
2020/2/25,Spread_Port_05,-187.6
2020/2/25,Spread_Port_06,-103.8
2020/2/26,Spread_Port_01,-37.6
2020/2/26,Spread_Port_02,-116.8
2020/2/26,Spread_Port_03,-218.8
2020/2/26,Spread_Port_04,-79.2
2020/2/26,Spread_Port_05,-181.2
2020/2/26,Spread_Port_06,-102
2020/2/27,Spread_Port_01,-36.6
2020/2/27,Spread_Port_02,-119.6
2020/2/27,Spread_Port_03,-229.4
2020/2/27,Spread_Port_04,-83
2020/2/27,Spread_Port_05,-192.8
2020/2/27,Spread_Port_06,-109.8
2020/2/28,Spread_Port_01,-41
2020/2/28,Spread_Port_02,-125
2020/2/28,Spread_Port_03,-236.8
2020/2/28,Spread_Port_04,-84
2020/2/28,Spread_Port_05,-195.8
2020/2/28,Spread_Port_06,-111.8
2020/3/2,Spread_Port_01,-36
2020/3/2,Spread_Port_02,-126.8
2020/3/2,Spread_Port_03,-248
2020/3/2,Spread_Port_04,-90.8
2020/3/2,Spread_Port_05,-212
2020/3/2,Spread_Port_06,-121.2
2020/3/3,Spread_Port_01,-33.2
2020/3/3,Spread_Port_02,-128.4
2020/3/3,Spread_Port_03,-249
2020/3/3,Spread_Port_04,-95.2
2020/3/3,Spread_Port_05,-215.8
2020/3/3,Spread_Port_06,-120.6
2020/3/4,Spread_Port_01,-35.2
2020/3/4,Spread_Port_02,-134.4
2020/3/4,Spread_Port_03,-256.8
2020/3/4,Spread_Port_04,-99.2
2020/3/4,Spread_Port_05,-221.6
2020/3/4,Spread_Port_06,-122.4
2020/3/5,Spread_Port_01,-43.2
2020/3/5,Spread_Port_02,-136.6
2020/3/5,Spread_Port_03,-264.2
2020/3/5,Spread_Port_04,-93.4
2020/3/5,Spread_Port_05,-221
2020/3/5,Spread_Port_06,-127.6
2020/3/6,Spread_Port_01,-45.2
2020/3/6,Spread_Port_02,-146
2020/3/6,Spread_Port_03,-281
2020/3/6,Spread_Port_04,-100.8
2020/3/6,Spread_Port_05,-235.8
2020/3/6,Spread_Port_06,-135
2020/3/9,Spread_Port_01,-58.4
2020/3/9,Spread_Port_02,-180.2
2020/3/9,Spread_Port_03,-313.4
2020/3/9,Spread_Port_04,-121.8
2020/3/9,Spread_Port_05,-255
2020/3/9,Spread_Port_06,-133.2
2020/3/10,Spread_Port_01,-49
2020/3/10,Spread_Port_02,-140
2020/3/10,Spread_Port_03,-253.4
2020/3/10,Spread_Port_04,-91
2020/3/10,Spread_Port_05,-204.4
2020/3/10,Spread_Port_06,-113.4
